1,1.032,0.368577736,1.07,0.94
2,1.005,-0.95581161,1.07,0.94
3,1.015,3.452080394,1.07,0.94
4,1.044,-0.606102148,1.07,0.94
5,0.979,10.6937934,1.07,0.94
6,1.026,-1.395379486,1.07,0.94
7,1.044,-0.6203685,1.07,0.94
8,0.98,10.97259665,1.07,0.94
9,0.978,10.63874821,1.07,0.94
10,0.977,10.53747614,1.07,0.94
11,1.015,2.408149794,1.07,0.94
12,1.043,-0.617567959,1.07,0.94
13,1.019,-2.735058118,1.07,0.94
14,0.935,-5.856105021,1.07,0.94
15,1.004,-4.642990241,1.07,0.94
16,0.978,10.38823138,1.07,0.94
17,0.982,9.950700973,1.07,0.94
18,0.97,9.416376161,1.07,0.94
19,0.939,7.184078982,1.07,0.94
20,0.977,10.53592419,1.07,0.94
21,0.976,16.01851902,1.07,0.94
22,1.05,-0.522615423,1.07,0.94
23,1.013,0,1.07,0.94
